owner_key,legacy_uuid,title,topic,url,downloadable,expected_bytes,reference_status
r_piemon,r_piemon:19e1642f-a4ca-4231-8193-f1a777d6ede0,Ambiti amministrativi - Comuni Census 2000 (STORICO),boundaries,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Limiti_amministrativi/COMUNI_CENSUS.zip,true,5047672,ok
r_piemon,r_piemon:53d7561e-b2c9-49ee-8c45-f780c4bd5a11,Ppr - Bene ex L. 1497/1939 (linee - tav. P2),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/Bene_ex_L_1497_39_linee.zip,true,7125,ok
c_001272,c_l219:8423169f-f5b4-41fa-a614-68e68fb17842,Urbanistica - PRG Var. Geologica - Ambiti dei punti critici,planningCadastre,http://geoportale.comune.torino.it/sec/zip/ambiti_dei_punti_critici.zip,true,94916,ok
p_bi,p_bi:cb6e9de5-5d97-4d10-b909-a7696e807f4d,Provincia di Biella - Itinerari escursionistici,planningCadastre,https://www.provincia.biella.it/sit-e-cartografia/repertorio/consultazione/at5-sistema-funzionale-relazionale,false,0,err
p_to,cmto:851cf766-7855-4c8d-afa5-9aa6186793cf,DORA BALTEA Alluvione 13-16/10/2000,geoscientificInformation,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/sit-cartografico/dwd/geoportale/dati_scaricabili/difesa_del_suolo/studi_idrogeologici/dorabaltea/Stralcio_Relazione_Dora_Baltea_Alluvione2000.pdf,true,1826261,ok
p_to,cmto:afe395cb-2ab4-43e3-b877-210254680b3e,PTC 2 - Suoli agricoli (Capacità d’uso dei suoli),farming,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/territorio/dwd/pianificazione-territoriale/ptc2/shape_tavole/tav31/capuso_250_v.zip,true,1332349,ok
p_bi,p_bi:6e903c7a-6ec3-4703-b67d-0934249d2227,Provincia di Biella - PTPv1 - Circhi glaciali,planningCadastre,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/ctp-pae-sensibilita-paesistiche-e,false,0,err
r_piemon,r_piemon:2d9f2ab8-6601-4c5c-bf1d-b6407d999249,Ppr - Luoghi di villeggiatura e centri di loisir (tav. P4),society,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/villeggiatura_loisir_upp.zip,true,87955,ok
p_to,arlpa_to:07.04.06-D_2015-03-31-11:07,"Regione Piemonte, Arpa Piemonte, Citta' Metropolitana di Torino - Banca Dati Eventi",geoscientificInformation,http://webgis.arpa.piemonte.it/w-metadoc/Download/BancaDatiEventi.zip,true,4894182,ok
p_to,cmto:d33c4074-5506-4518-8085-671ca479cfd6,PTC 2 - Corridoi di connessione ecologica,environment,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/territorio/dwd/pianificazione-territoriale/ptc2/shape_tavole/tav31/connessioni_eco_nov09.zip,true,1834545,ok
r_piemon,r_piemon:9aa35746-fcd2-4234-a732-16db26ac8d1c,Interventi di riqualificazione dei corpi idrici piemontesi,inlandWaters,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Acqua/PTA/Programma_interventi_PTA.zip,true,549845,ok
c_001272,c_l219:39c7b996-46db-48f2-a591-be3e223a79d8,Urbanistica - PRG Azzonamento - Aree di piano,planningCadastre,http://geoportale.comune.torino.it/sec/zip/aree_di_piano.zip,true,2357681,ok
r_piemon,r_piemon:dfdbe75c-e682-46e9-991f-63066b9dbe27,Ppr - Struttura insediativa storica dei centri con forte identità morfologica (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/struttura_insediativa_storica.zip,true,63774,ok
p_bi,p_bi:0dfad459-e1f1-40cc-ab96-6900e06cb1fd,Provincia di Biella - PTPv1 - Tessuti storici minori,planningCadastre,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/ctp-pae-sensibilita-paesistiche-e,false,0,err
p_bi,p_bi:0dfad459-e1f1-40cc-ab96-6900e06cb1fd,Provincia di Biella - PTPv1 - Tessuti storici minori,planningCadastre,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-f-politiche-territoriali-della,false,0,err
c_001272,c_l219:1b33b577-6ddc-4391-b227-ec714fe4b540,Urbanistica - PRG Azzonamento - Pertinenze storiche,planningCadastre,http://geoportale.comune.torino.it/sec/zip/pertinenze_storiche.zip,true,85041,ok
p_to,cmto:53dd0189-57b9-48e9-b8a9-7d46edb2e039,Discariche - puntuale,environment,https://eds.cittametropolitana.torino.it/geoportale/SHP_INT_DISC.php,true,74962,ok
c_001272,c_l219:7d73e740-ce36-4e60-a401-1f75dad94f4f,Ospedali,society,http://geoportale.comune.torino.it/geodati/zip/ospedali_geo.zip,true,100795,ok
